task_horizon,outer_fold,model,outer_train_end,test_start,test_end,inner_fold,lambda,MAE,RMSE,R2,status,selected
1,2,Basis Ridge (tuned),121,122,122,6,0.34677369590428986,1.1831650495285555,2.763840692005838,0.6103426628960704,ok,FALSE
1,2,Basis Ridge (tuned),121,122,122,6,0.7835212181775894,1.3015208775433613,3.273323020859866,0.45344411533652584,ok,FALSE
1,2,Basis Ridge (tuned),121,122,122,6,1.7703346781640914,1.4472505706547916,3.737584863211057,0.2874112371717651,ok,FALSE
1,2,Basis Ridge (tuned),121,122,122,6,4,1.580070636334733,4.0779706800586055,0.15170864159509645,ok,FALSE
12,3,Basis Ridge (tuned),84,85,96,1,1.0000000000000009e-4,1.582818079329587,4.300286808301396,0.5440713517962097,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,1,1.0000000000000009e-4,1.582818079329587,4.300286808301396,0.5440713517962097,ok,FALSE
12,3,Basis Ridge (tuned),84,85,96,1,2.259459778615513e-4,1.5842480550680418,4.306399241669513,0.5427743154767803,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,1,2.259459778615513e-4,1.5842480550680418,4.306399241669513,0.5427743154767803,ok,FALSE
12,3,Basis Ridge (tuned),84,85,96,1,5.105158491181259e-4,1.5869897160846802,4.318018930228622,0.5403035795406186,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,1,5.105158491181259e-4,1.5869897160846802,4.318018930228622,0.5403035795406186,ok,FALSE
12,3,Basis Ridge (tuned),84,85,96,1,0.00115349002742815,1.5908869195356896,4.334499190959903,0.5367879052430153,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,1,0.00115349002742815,1.5908869195356896,4.334499190959903,0.5367879052430153,ok,FALSE
12,3,Basis Ridge (tuned),84,85,96,1,0.002606264322008008,1.5996377512472282,4.371393271283125,0.528868874565494,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,1,0.002606264322008008,1.5996377512472282,4.371393271283125,0.528868874565494,ok,FALSE
12,3,Basis Ridge (tuned),84,85,96,1,0.005888749408017718,1.6168675511145691,4.441957362247706,0.5135358850801155,ok,TRUE
1,3,Basis Ridge (tuned),122,123,123,1,0.005888749408017718,1.6168675511145691,4.441957362247706,0.5135358850801155,ok,FALSE
12,3,Basis Ridge (tuned),84,85,96,1,0.013305392433761935,1.6604072457784667,4.603189247956525,0.4775801160409382,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,1,0.013305392433761935,1.6604072457784667,4.603189247956525,0.4775801160409382,ok,TRUE
12,3,Basis Ridge (tuned),84,85,96,1,0.030062999042780234,1.7514127802496517,4.910207552699873,0.4055686058474197,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,1,0.030062999042780234,1.7514127802496517,4.910207552699873,0.4055686058474197,ok,FALSE
12,3,Basis Ridge (tuned),84,85,96,1,0.06792613716171855,1.8925994133354527,5.365604565735103,0.29019449397371055,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,1,0.06792613716171855,1.8925994133354527,5.365604565735103,0.29019449397371055,ok,FALSE
12,3,Basis Ridge (tuned),84,85,96,1,0.1534763748336234,2.040852921544482,5.8393919574001885,0.15930726798451678,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,1,0.1534763748336234,2.040852921544482,5.8393919574001885,0.15930726798451678,ok,FALSE
12,3,Basis Ridge (tuned),84,85,96,1,0.34677369590428986,2.1434843073493393,6.172479984841076,0.06066302272379753,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,1,0.34677369590428986,2.1434843073493393,6.172479984841076,0.06066302272379753,ok,FALSE
12,3,Basis Ridge (tuned),84,85,96,1,0.7835212181775894,2.198776652902988,6.341940117627568,0.008377637705677787,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,1,0.7835212181775894,2.198776652902988,6.341940117627568,0.008377637705677787,ok,FALSE
12,3,Basis Ridge (tuned),84,85,96,1,1.7703346781640914,2.2293334697377203,6.413008971795307,-0.01397146447079578,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,1,1.7703346781640914,2.2293334697377203,6.413008971795307,-0.01397146447079578,ok,FALSE
12,3,Basis Ridge (tuned),84,85,96,1,4,2.253956345887773,6.443440688870071,-0.02361751537421486,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,1,4,2.253956345887773,6.443440688870071,-0.02361751537421486,ok,FALSE
12,3,Basis Ridge (tuned),84,85,96,2,1.0000000000000009e-4,1.4370033979882035,3.8437616707851565,0.5637830036939913,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,2,1.0000000000000009e-4,1.4370033979882035,3.8437616707851565,0.5637830036939913,ok,FALSE
12,3,Basis Ridge (tuned),84,85,96,2,2.259459778615513e-4,1.4381608117709783,3.848217192464795,0.5627711299598198,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,2,2.259459778615513e-4,1.4381608117709783,3.848217192464795,0.5627711299598198,ok,FALSE
12,3,Basis Ridge (tuned),84,85,96,2,5.105158491181259e-4,1.4399856805996076,3.8553347004548812,0.5611522723346818,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,2,5.105158491181259e-4,1.4399856805996076,3.8553347004548812,0.5611522723346818,ok,FALSE
12,3,Basis Ridge (tuned),84,85,96,2,0.00115349002742815,1.4426125636429488,3.865279350873101,0.5588853792198092,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,2,0.00115349002742815,1.4426125636429488,3.865279350873101,0.5588853792198092,ok,FALSE
12,3,Basis Ridge (tuned),84,85,96,2,0.002606264322008008,1.4481089594896936,3.886088948755441,0.5541229148440598,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,2,0.002606264322008008,1.4481089594896936,3.886088948755441,0.5541229148440598,ok,FALSE
12,3,Basis Ridge (tuned),84,85,96,2,0.005888749408017718,1.4583720953950534,3.925010169025216,0.545146802570158,ok,TRUE
1,3,Basis Ridge (tuned),122,123,123,2,0.005888749408017718,1.4583720953950534,3.925010169025216,0.545146802570158,ok,FALSE
12,3,Basis Ridge (tuned),84,85,96,2,0.013305392433761935,1.4826910883062165,4.01225450755221,0.5247012997249669,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,2,0.013305392433761935,1.4826910883062165,4.01225450755221,0.5247012997249669,ok,TRUE
12,3,Basis Ridge (tuned),84,85,96,2,0.030062999042780234,1.53193700527753,4.176895627626465,0.4848936236506485,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,2,0.030062999042780234,1.53193700527753,4.176895627626465,0.4848936236506485,ok,FALSE
12,3,Basis Ridge (tuned),84,85,96,2,0.06792613716171855,1.6129036432781445,4.438245328520095,0.41841621615600977,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,2,0.06792613716171855,1.6129036432781445,4.438245328520095,0.41841621615600977,ok,FALSE
12,3,Basis Ridge (tuned),84,85,96,2,0.1534763748336234,1.7156799138746337,4.766580811215368,0.3291837104948302,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,2,0.1534763748336234,1.7156799138746337,4.766580811215368,0.3291837104948302,ok,FALSE
12,3,Basis Ridge (tuned),84,85,96,2,0.34677369590428986,1.8111123389352186,5.079167815121878,0.23831605123407085,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,2,0.34677369590428986,1.8111123389352186,5.079167815121878,0.23831605123407085,ok,FALSE
12,3,Basis Ridge (tuned),84,85,96,2,0.7835212181775894,1.8830310404764632,5.326876550513999,0.16221044062220913,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,2,0.7835212181775894,1.8830310404764632,5.326876550513999,0.16221044062220913,ok,FALSE
12,3,Basis Ridge (tuned),84,85,96,2,1.7703346781640914,1.9460801170243498,5.520614616619519,0.1001615608894052,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,2,1.7703346781640914,1.9460801170243498,5.520614616619519,0.1001615608894052,ok,FALSE
12,3,Basis Ridge (tuned),84,85,96,2,4,2.025027930096261,5.679252029620745,0.047703993156890334,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,2,4,2.025027930096261,5.679252029620745,0.047703993156890334,ok,FALSE
12,3,Basis Ridge (tuned),84,85,96,3,1.0000000000000009e-4,2.006929633547946,3.586805902809831,0.46759365205828796,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,3,1.0000000000000009e-4,2.006929633547946,3.586805902809831,0.46759365205828796,ok,FALSE
12,3,Basis Ridge (tuned),84,85,96,3,2.259459778615513e-4,2.0021749754244897,3.577497160737059,0.47035354616694125,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,3,2.259459778615513e-4,2.0021749754244897,3.577497160737059,0.47035354616694125,ok,FALSE
12,3,Basis Ridge (tuned),84,85,96,3,5.105158491181259e-4,1.9949009837911553,3.56312483361148,0.4746006278150816,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,3,5.105158491181259e-4,1.9949009837911553,3.56312483361148,0.4746006278150816,ok,FALSE
12,3,Basis Ridge (tuned),84,85,96,3,0.00115349002742815,1.9847790936111518,3.542811525389086,0.48057413575486985,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,3,0.00115349002742815,1.9847790936111518,3.542811525389086,0.48057413575486985,ok,FALSE
12,3,Basis Ridge (tuned),84,85,96,3,0.002606264322008008,1.963964264467464,3.501310203625789,0.4926722102498631,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,3,0.002606264322008008,1.963964264467464,3.501310203625789,0.4926722102498631,ok,FALSE
12,3,Basis Ridge (tuned),84,85,96,3,0.005888749408017718,1.924810706606404,3.4241125782174158,0.5147969263342229,ok,TRUE
1,3,Basis Ridge (tuned),122,123,123,3,0.005888749408017718,1.924810706606404,3.4241125782174158,0.5147969263342229,ok,FALSE
12,3,Basis Ridge (tuned),84,85,96,3,0.013305392433761935,1.8483254876006177,3.276424883661592,0.5557495211105441,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,3,0.013305392433761935,1.8483254876006177,3.276424883661592,0.5557495211105441,ok,TRUE
12,3,Basis Ridge (tuned),84,85,96,3,0.030062999042780234,1.7214646635949897,3.0468010251880764,0.6158368892016106,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,3,0.030062999042780234,1.7214646635949897,3.0468010251880764,0.6158368892016106,ok,FALSE
12,3,Basis Ridge (tuned),84,85,96,3,0.06792613716171855,1.5747428904368967,2.829129563280118,0.6687673438379933,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,3,0.06792613716171855,1.5747428904368967,2.829129563280118,0.6687673438379933,ok,FALSE
12,3,Basis Ridge (tuned),84,85,96,3,0.1534763748336234,1.5112963933990806,2.881018878025528,0.6565055839595977,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,3,0.1534763748336234,1.5112963933990806,2.881018878025528,0.6565055839595977,ok,FALSE
12,3,Basis Ridge (tuned),84,85,96,3,0.34677369590428986,1.5562561926355092,3.3018485376092075,0.548828385439321,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,3,0.34677369590428986,1.5562561926355092,3.3018485376092075,0.548828385439321,ok,FALSE
12,3,Basis Ridge (tuned),84,85,96,3,0.7835212181775894,1.6836428358146196,3.854168345277101,0.3852637355640244,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,3,0.7835212181775894,1.6836428358146196,3.854168345277101,0.3852637355640244,ok,FALSE
12,3,Basis Ridge (tuned),84,85,96,3,1.7703346781640914,1.8476458009447256,4.330744707061702,0.22383752900237086,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,3,1.7703346781640914,1.8476458009447256,4.330744707061702,0.22383752900237086,ok,FALSE
12,3,Basis Ridge (tuned),84,85,96,3,4,2.0066646194448428,4.668682369327554,0.09798007821200017,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,3,4,2.0066646194448428,4.668682369327554,0.09798007821200017,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,4,1.0000000000000009e-4,1.3302521000532395,3.1962583594120124,0.49979247759082257,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,4,2.259459778615513e-4,1.3303182141105057,3.1965069544986218,0.4997146653778415,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,4,5.105158491181259e-4,1.3303243258211161,3.196623538918546,0.4996781714549441,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,4,0.00115349002742815,1.3302603496219572,3.196677854829835,0.4996611687227793,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,4,0.002606264322008008,1.329998670967307,3.196399447510683,0.4997483166514044,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,4,0.005888749408017718,1.3291857114180037,3.1950818319485594,0.5001606578240217,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,4,0.013305392433761935,1.3273127930746205,3.1920809149618052,0.5010991451867697,ok,TRUE
1,3,Basis Ridge (tuned),122,123,123,4,0.030062999042780234,1.3236443687049795,3.1860755767080176,0.5029745676340067,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,4,0.06792613716171855,1.3184922257448755,3.1825373056767683,0.5040778899760068,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,4,0.1534763748336234,1.3179789086633131,3.2108614360756897,0.49521133642868875,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,4,0.34677369590428986,1.3415326971403139,3.331659589938806,0.4565148183400429,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,4,0.7835212181775894,1.41119330059307,3.584725047768042,0.37081528194898883,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,4,1.7703346781640914,1.527490592492645,3.9121051743955486,0.2506451735683538,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,4,4,1.6537741643818031,4.201383385266275,0.13572670872665615,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,5,1.0000000000000009e-4,1.1628320554491676,2.983163509897393,0.6243397562908283,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,5,2.259459778615513e-4,1.1630947151351307,2.9846237837824705,0.6239718910331069,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,5,5.105158491181259e-4,1.1635007145520868,2.9868887174678735,0.6234009635407375,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,5,0.00115349002742815,1.16414559278671,2.9904244664188653,0.6225088327013729,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,5,0.002606264322008008,1.165435814849666,2.997509777452259,0.6207179090905213,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,5,0.005888749408017718,1.1682589731813104,3.0129931733927098,0.6167894869131549,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,5,0.013305392433761935,1.174133112692623,3.044597063349031,0.6087081808894867,ok,TRUE
1,3,Basis Ridge (tuned),122,123,123,5,0.030062999042780234,1.1858420851895841,3.1071796262566345,0.5924566219796553,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,5,0.06792613716171855,1.2070557904174073,3.2184289884811763,0.5627508415318294,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,5,0.1534763748336234,1.2414599560413961,3.394420911476798,0.5136235839255388,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,5,0.34677369590428986,1.2943621280467186,3.6416795668301325,0.4401849388586001,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,5,0.7835212181775894,1.379227625082352,3.9536052883291304,0.3401765629889245,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,5,1.7703346781640914,1.4964947993026225,4.283292689200736,0.22554422311709432,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,5,4,1.6209309683104536,4.556314730362458,0.12366824142432187,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,6,1.0000000000000009e-4,1.2286255117199854,2.0792934764070803,0.7794594633805534,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,6,2.259459778615513e-4,1.2274702127333625,2.077965119699107,0.7797411580300925,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,6,5.105158491181259e-4,1.2257039592559589,2.0759595838420806,0.7801661159192037,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,6,0.00115349002742815,1.223190583860025,2.0731282293566715,0.780765359951751,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,6,0.002606264322008008,1.2183991773937604,2.0678436399613354,0.7818816328329932,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,6,0.005888749408017718,1.2087764798090965,2.0575751782113105,0.7840425109921922,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,6,0.013305392433761935,1.1918840439660972,2.042970375725193,0.7870973911234979,ok,TRUE
1,3,Basis Ridge (tuned),122,123,123,6,0.030062999042780234,1.162749232843952,2.038762026275543,0.7879736111383042,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,6,0.06792613716171855,1.1321945072295965,2.1043938160855142,0.7741027839157699,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,6,0.1534763748336234,1.12700471188497,2.339070407693842,0.7209105408158656,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,6,0.34677369590428986,1.1831650495285555,2.763840692005838,0.6103426628960704,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,6,0.7835212181775894,1.3015208775433613,3.273323020859866,0.45344411533652584,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,6,1.7703346781640914,1.4472505706547916,3.737584863211057,0.2874112371717651,ok,FALSE
1,3,Basis Ridge (tuned),122,123,123,6,4,1.580070636334733,4.0779706800586055,0.15170864159509645,ok,FALSE
12,4,Basis Ridge (tuned),96,97,108,1,1.0000000000000009e-4,1.582818079329587,4.300286808301396,0.5440713517962097,ok,FALSE
1,4,Basis Ridge (tuned),123,124,124,1,1.0000000000000009e-4,1.582818079329587,4.300286808301396,0.5440713517962097,ok,FALSE
12,4,Basis Ridge (tuned),96,97,108,1,2.259459778615513e-4,1.5842480550680418,4.306399241669513,0.5427743154767803,ok,FALSE
1,4,Basis Ridge (tuned),123,124,124,1,2.259459778615513e-4,1.5842480550680418,4.306399241669513,0.5427743154767803,ok,FALSE
12,4,Basis Ridge (tuned),96,97,108,1,5.105158491181259e-4,1.5869897160846802,4.318018930228622,0.5403035795406186,ok,FALSE
1,4,Basis Ridge (tuned),123,124,124,1,5.105158491181259e-4,1.5869897160846802,4.318018930228622,0.5403035795406186,ok,FALSE
12,4,Basis Ridge (tuned),96,97,108,1,0.00115349002742815,1.5908869195356896,4.334499190959903,0.5367879052430153,ok,FALSE
1,4,Basis Ridge (tuned),123,124,124,1,0.00115349002742815,1.5908869195356896,4.334499190959903,0.5367879052430153,ok,FALSE
12,4,Basis Ridge (tuned),96,97,108,1,0.002606264322008008,1.5996377512472282,4.371393271283125,0.528868874565494,ok,FALSE
1,4,Basis Ridge (tuned),123,124,124,1,0.002606264322008008,1.5996377512472282,4.371393271283125,0.528868874565494,ok,FALSE
12,4,Basis Ridge (tuned),96,97,108,1,0.005888749408017718,1.6168675511145691,4.441957362247706,0.5135358850801155,ok,TRUE
1,4,Basis Ridge (tuned),123,124,124,1,0.005888749408017718,1.6168675511145691,4.441957362247706,0.5135358850801155,ok,FALSE
12,4,Basis Ridge (tuned),96,97,108,1,0.013305392433761935,1.6604072457784667,4.603189247956525,0.4775801160409382,ok,FALSE
1,4,Basis Ridge (tuned),123,124,124,1,0.013305392433761935,1.6604072457784667,4.603189247956525,0.4775801160409382,ok,TRUE
12,4,Basis Ridge (tuned),96,97,108,1,0.030062999042780234,1.7514127802496517,4.910207552699873,0.4055686058474197,ok,FALSE
1,4,Basis Ridge (tuned),123,124,124,1,0.030062999042780234,1.7514127802496517,4.910207552699873,0.4055686058474197,ok,FALSE
12,4,Basis Ridge (tuned),96,97,108,1,0.06792613716171855,1.8925994133354527,5.365604565735103,0.29019449397371055,ok,FALSE
1,4,Basis Ridge (tuned),123,124,124,1,0.06792613716171855,1.8925994133354527,5.365604565735103,0.29019449397371055,ok,FALSE
12,4,Basis Ridge (tuned),96,97,108,1,0.1534763748336234,2.040852921544482,5.8393919574001885,0.15930726798451678,ok,FALSE
1,4,Basis Ridge (tuned),123,124,124,1,0.1534763748336234,2.040852921544482,5.8393919574001885,0.15930726798451678,ok,FALSE
12,4,Basis Ridge (tuned),96,97,108,1,0.34677369590428986,2.1434843073493393,6.172479984841076,0.06066302272379753,ok,FALSE
1,4,Basis Ridge (tuned),123,124,124,1,0.34677369590428986,2.1434843073493393,6.172479984841076,0.06066302272379753,ok,FALSE
12,4,Basis Ridge (tuned),96,97,108,1,0.7835212181775894,2.198776652902988,6.341940117627568,0.008377637705677787,ok,FALSE
1,4,Basis Ridge (tuned),123,124,124,1,0.7835212181775894,2.198776652902988,6.341940117627568,0.008377637705677787,ok,FALSE
12,4,Basis Ridge (tuned),96,97,108,1,1.7703346781640914,2.2293334697377203,6.413008971795307,-0.01397146447079578,ok,FALSE
1,4,Basis Ridge (tuned),123,124,124,1,1.7703346781640914,2.2293334697377203,6.413008971795307,-0.01397146447079578,ok,FALSE
12,4,Basis Ridge (tuned),96,97,108,1,4,2.253956345887773,6.443440688870071,-0.02361751537421486,ok,FALSE
1,4,Basis Ridge (tuned),123,124,124,1,4,2.253956345887773,6.443440688870071,-0.02361751537421486,ok,FALSE
12,4,Basis Ridge (tuned),96,97,108,2,1.0000000000000009e-4,1.4370033979882035,3.8437616707851565,0.5637830036939913,ok,FALSE
1,4,Basis Ridge (tuned),123,124,124,2,1.0000000000000009e-4,1.4370033979882035,3.8437616707851565,0.5637830036939913,ok,FALSE
12,4,Basis Ridge (tuned),96,97,108,2,2.259459778615513e-4,1.4381608117709783,3.848217192464795,0.5627711299598198,ok,FALSE
1,4,Basis Ridge (tuned),123,124,124,2,2.259459778615513e-4,1.4381608117709783,3.848217192464795,0.5627711299598198,ok,FALSE
12,4,Basis Ridge (tuned),96,97,108,2,5.105158491181259e-4,1.4399856805996076,3.8553347004548812,0.5611522723346818,ok,FALSE
